DateOpKey,DateOp,Shift,FleetTypeDesc,Unit,UnitKey,TimeCodeDesc,DateTimeStart,Duration
20211101,00:00.0,N,Haul trucks,T452,275,ELECTRICAL / LOW VOLTAGE,11/2/21 3:27,6
20211101,00:00.0,N,Haul trucks,T452,275,ELECTRICAL / LOW VOLTAGE,11/1/21 23:08,10
20211101,00:00.0,D,Haul trucks,T409,268,ELECTRICAL / LOW VOLTAGE,11/1/21 5:15,43200
20211101,00:00.0,N,Haul trucks,T452,275,ELECTRICAL / LOW VOLTAGE,11/2/21 3:27,6458
20211101,00:00.0,N,Haul trucks,T452,275,ELECTRICAL / LOW VOLTAGE,11/1/21 23:08,4344
20211101,00:00.0,N,Haul trucks,T409,268,ELECTRICAL / LOW VOLTAGE,11/1/21 17:15,43200
20211101,00:00.0,D,Haul trucks,T1202,555,ELECTRICAL / LOW VOLTAGE,11/1/21 5:15,27743
20211101,00:00.0,N,Haul trucks,T459,282,Starting System,11/1/21 17:39,32
20211101,00:00.0,N,Haul trucks,T459,282,Starting System,40:12.0,1759
20211101,00:00.0,N,Haul trucks,T1213,558,Fuel Filters,03:07.0,3
20211101,00:00.0,N,Haul trucks,T1214,564,Fuel Filters,50:16.0,1938
20211101,00:00.0,N,Haul trucks,T1213,558,Fuel Filters,03:10.0,1386
20211101,00:00.0,N,Haul trucks,T1214,564,Fuel Filters,22:34.0,4
20211101,00:00.0,N,Haul trucks,T1214,564,Fuel Filters,50:02.0,14
20211101,00:00.0,D,Haul trucks,T476,299,ELECTRICAL DRIVE / HIGH VOLTAGE,15:00.0,43200
20211101,00:00.0,N,Haul trucks,T476,299,ELECTRICAL DRIVE / HIGH VOLTAGE,15:00.0,43200
20211101,00:00.0,D,Haul trucks,T496,423,ENGINE,45:53.0,4
20211101,00:00.0,D,Haul trucks,T496,423,ENGINE,14:25.0,1467
20211101,00:00.0,N,Haul trucks,T496,423,ENGINE,15:00.0,43200
20211101,00:00.0,D,Haul trucks,T496,423,ENGINE,45:57.0,5308
20211101,00:00.0,D,Haul trucks,T496,423,ENGINE,38:52.0,16568
20211101,00:00.0,D,Haul trucks,T419,480,Engine Lubrication System,50:58.0,28
20211101,00:00.0,D,Haul trucks,T419,480,Engine Lubrication System,22:32.0,6
20211101,00:00.0,D,Haul trucks,T419,480,Engine Lubrication System,51:26.0,1866
20211101,00:00.0,D,Haul trucks,T424,507,TYRES,07:43.0,309
20211101,00:00.0,D,Haul trucks,T424,507,TYRES,12:52.0,11867
20211101,00:00.0,D,Haul trucks,T357,638,Hoist Cylinder,08:19.0,7
20211101,00:00.0,D,Haul trucks,T357,638,Hoist Cylinder,08:26.0,394
20211101,00:00.0,N,Haul trucks,T357,638,Hoist Cylinder,15:00.0,4154
20211101,00:00.0,D,Haul trucks,T489,411,STRUCTURE,07:35.0,5095
20211101,00:00.0,D,Haul trucks,T489,411,STRUCTURE,07:25.0,10
20211101,00:00.0,D,Haul trucks,T489,411,STRUCTURE,32:30.0,17
20211101,00:00.0,N,Haul trucks,T479,302,Panels & Guards,11:37.0,36
20211101,00:00.0,N,Haul trucks,T479,302,Panels & Guards,20:44.0,12
20211101,00:00.0,N,Haul trucks,T479,302,Panels & Guards,12:13.0,511
20211101,00:00.0,D,Haul trucks,T486,403,CABIN,54:02.0,7
20211101,00:00.0,D,Haul trucks,T486,403,CABIN,24:49.0,18
20211101,00:00.0,D,Haul trucks,T475,298,CABIN,12:58.0,14
20211101,00:00.0,D,Haul trucks,T475,298,CABIN,13:12.0,9549
20211101,00:00.0,D,Haul trucks,T486,403,CABIN,54:09.0,9040
20211101,00:00.0,N,Haul trucks,T414,467,SUSPENSION,15:00.0,3457
20211101,00:00.0,D,Haul trucks,T414,467,SUSPENSION,15:00.0,43200
20211101,00:00.0,N,Haul trucks,T401,260,WASHDOWN - SCHEDULED MAINTENANCE,20:46.0,77
20211101,00:00.0,D,Haul trucks,T402,261,WASHDOWN - SCHEDULED MAINTENANCE,59:27.0,3
20211101,00:00.0,D,Haul trucks,T402,261,WASHDOWN - SCHEDULED MAINTENANCE,59:30.0,15330
20211101,00:00.0,N,Haul trucks,T401,260,WASHDOWN - SCHEDULED MAINTENANCE,22:03.0,17577
20211101,00:00.0,N,Haul trucks,T402,261,WASHDOWN - SCHEDULED MAINTENANCE,15:00.0,894
20211101,00:00.0,D,Haul trucks,T1207,562,WASHDOWN - SCHEDULED MAINTENANCE,15:00.0,914
20211101,00:00.0,N,Haul trucks,T456,279,SCHEDULED MAINTENANCE,55:27.0,30
20211101,00:00.0,N,Haul trucks,T456,279,SCHEDULED MAINTENANCE,02:53.0,7
20211101,00:00.0,N,Haul trucks,T456,279,SCHEDULED MAINTENANCE,55:57.0,416
20211101,00:00.0,D,Haul trucks,T403,262,Pre-Maintenance Inspection,33:46.0,13456
20211101,00:00.0,D,Haul trucks,T420,482,Pre-Maintenance Inspection,36:44.0,3
20211101,00:00.0,D,Haul trucks,T420,482,Pre-Maintenance Inspection,36:47.0,10525
20211101,00:00.0,N,Haul trucks,T1207,562,BW024,56:07.0,106
20211101,00:00.0,N,Haul trucks,T1207,562,BW024,15:00.0,24067
20211101,00:00.0,D,Haul trucks,T1207,562,BW024,30:14.0,42286
20211101,00:00.0,N,Haul trucks,T402,261,BW024,29:54.0,42306
20211101,00:00.0,D,Haul trucks,T496,423,BW024,15:00.0,14511
20211101,00:00.0,D,Haul trucks,T403,262,TYRES,01:03.0,3
20211101,00:00.0,D,Haul trucks,T403,262,TYRES,01:06.0,12760
20211101,00:00.0,D,Haul trucks,T402,261,Walkaround Inspection,33:58.0,367
20211101,00:00.0,N,Haul trucks,T356,632,Walkaround Inspection,25:57.0,973
20211101,00:00.0,N,Haul trucks,T404,263,Walkaround Inspection,01:06.0,175
20211101,00:00.0,D,Haul trucks,T428,510,Walkaround Inspection,14:01.0,852
20211101,00:00.0,D,Haul trucks,T485,396,Walkaround Inspection,02:47.0,785
20211101,00:00.0,D,Haul trucks,T411,459,Walkaround Inspection,55:33.0,646
20211101,00:00.0,D,Haul trucks,T404,263,Walkaround Inspection,22:23.0,773
20211101,00:00.0,D,Haul trucks,T421,481,Walkaround Inspection,33:51.0,648
20211101,00:00.0,D,Haul trucks,T1214,564,Walkaround Inspection,09:31.0,827
20211101,00:00.0,D,Haul trucks,T1204,557,Walkaround Inspection,17:59.0,725
20211101,00:00.0,D,Haul trucks,T408,267,Walkaround Inspection,46:27.0,10
20211101,00:00.0,D,Haul trucks,T356,632,Walkaround Inspection,46:20.0,547
20211101,00:00.0,N,Haul trucks,T481,340,Walkaround Inspection,55:29.0,733
20211101,00:00.0,D,Haul trucks,T498,429,Walkaround Inspection,13:34.0,916
20211101,00:00.0,D,Haul trucks,T498,429,Walkaround Inspection,38:47.0,732
20211101,00:00.0,N,Haul trucks,T410,269,Walkaround Inspection,23:59.0,784
20211101,00:00.0,D,Haul trucks,T468,291,Walkaround Inspection,36:43.0,810
20211101,00:00.0,D,Haul trucks,T463,286,Walkaround Inspection,24:14.0,861
20211101,00:00.0,N,Haul trucks,T477,300,Walkaround Inspection,10:20.0,744
20211101,00:00.0,D,Haul trucks,T1203,554,Walkaround Inspection,33:00.0,473
20211101,00:00.0,N,Haul trucks,T422,490,Walkaround Inspection,49:27.0,677
20211101,00:00.0,D,Haul trucks,T488,408,Walkaround Inspection,28:53.0,378
20211101,00:00.0,N,Haul trucks,T485,396,Walkaround Inspection,13:57.0,884
20211101,00:00.0,D,Haul trucks,T477,300,Walkaround Inspection,18:21.0,791
20211101,00:00.0,N,Haul trucks,T489,411,Walkaround Inspection,13:09.0,810
20211101,00:00.0,N,Haul trucks,T486,403,Walkaround Inspection,27:54.0,1474
20211101,00:00.0,D,Haul trucks,T410,269,Walkaround Inspection,39:39.0,896
20211101,00:00.0,N,Haul trucks,T456,279,Walkaround Inspection,18:25.0,756
20211101,00:00.0,N,Haul trucks,T472,295,Walkaround Inspection,24:02.0,1074
20211101,00:00.0,N,Haul trucks,T483,392,Walkaround Inspection,55:16.0,734
20211101,00:00.0,N,Haul trucks,T473,296,Walkaround Inspection,17:56.0,931
20211101,00:00.0,D,Haul trucks,T481,340,Walkaround Inspection,24:06.0,974
20211101,00:00.0,D,Haul trucks,T479,302,Walkaround Inspection,07:59.0,743
20211101,00:00.0,D,Haul trucks,T479,302,Walkaround Inspection,41:59.0,761
20211101,00:00.0,D,Haul trucks,T453,276,Walkaround Inspection,23:59.0,208
20211101,00:00.0,D,Haul trucks,T474,297,Walkaround Inspection,12:43.0,738
20211101,00:00.0,N,Haul trucks,T356,632,Walkaround Inspection,11:59.0,181
20211101,00:00.0,N,Haul trucks,T414,467,Walkaround Inspection,12:07.0,716
20211101,00:00.0,N,Haul trucks,T419,480,Walkaround Inspection,21:29.0,819
20211101,00:00.0,N,Haul trucks,T459,282,Walkaround Inspection,18:56.0,816
20211101,00:00.0,D,Haul trucks,T454,277,Walkaround Inspection,05:51.0,767
20211101,00:00.0,N,Haul trucks,T490,413,Walkaround Inspection,18:02.0,778
20211101,00:00.0,N,Haul trucks,T490,413,Walkaround Inspection,28:15.0,755
20211101,00:00.0,N,Haul trucks,T480,303,Walkaround Inspection,19:03.0,812
20211101,00:00.0,N,Haul trucks,T474,297,Walkaround Inspection,29:51.0,776
20211101,00:00.0,N,Haul trucks,T405,264,Walkaround Inspection,07:23.0,840
20211101,00:00.0,D,Haul trucks,T353,489,Walkaround Inspection,51:11.0,19
20211101,00:00.0,D,Haul trucks,T353,489,Walkaround Inspection,51:30.0,1326
20211101,00:00.0,D,Haul trucks,T490,413,Walkaround Inspection,38:48.0,446
20211101,00:00.0,D,Haul trucks,T471,294,Walkaround Inspection,11:17.0,790
20211101,00:00.0,D,Haul trucks,T471,294,Walkaround Inspection,34:33.0,740
20211101,00:00.0,D,Haul trucks,T466,289,Walkaround Inspection,59:04.0,789
20211101,00:00.0,N,Haul trucks,T491,416,Walkaround Inspection,37:41.0,566
20211101,00:00.0,N,Haul trucks,T451,274,Walkaround Inspection,18:40.0,506
20211101,00:00.0,N,Haul trucks,T465,288,Walkaround Inspection,57:29.0,728
20211101,00:00.0,D,Haul trucks,T458,281,Walkaround Inspection,09:41.0,400
20211101,00:00.0,N,Haul trucks,T452,275,Walkaround Inspection,57:53.0,388
20211101,00:00.0,N,Haul trucks,T462,285,Walkaround Inspection,01:50.0,726
20211101,00:00.0,N,Haul trucks,T462,285,Walkaround Inspection,48:16.0,700
20211101,00:00.0,N,Haul trucks,T453,276,Walkaround Inspection,04:37.0,853
20211101,00:00.0,N,Haul trucks,T420,482,Walkaround Inspection,53:17.0,10
20211101,00:00.0,N,Haul trucks,T420,482,Walkaround Inspection,31:22.0,65
20211101,00:00.0,N,Haul trucks,T420,482,Walkaround Inspection,07:50.0,366
20211101,00:00.0,D,Haul trucks,T490,413,Walkaround Inspection,39:01.0,680
20211101,00:00.0,N,Haul trucks,T353,489,Walkaround Inspection,13:37.0,473
20211101,00:00.0,N,Haul trucks,T353,489,Walkaround Inspection,16:34.0,743
20211101,00:00.0,N,Haul trucks,T420,482,Walkaround Inspection,18:54.0,748
20211101,00:00.0,N,Haul trucks,T420,482,Walkaround Inspection,13:56.0,45
20211101,00:00.0,N,Haul trucks,T420,482,Walkaround Inspection,46:14.0,423
20211101,00:00.0,N,Haul trucks,T411,459,Walkaround Inspection,27:54.0,760
20211101,00:00.0,N,Haul trucks,T457,280,Walkaround Inspection,40:21.0,973
20211101,00:00.0,N,Haul trucks,T471,294,Walkaround Inspection,57:10.0,753
20211101,00:00.0,N,Haul trucks,T482,344,Walkaround Inspection,40:28.0,871
20211101,00:00.0,N,Haul trucks,T487,406,Walkaround Inspection,07:10.0,720
20211101,00:00.0,D,Haul trucks,T1201,556,Walkaround Inspection,11:44.0,713
20211101,00:00.0,D,Haul trucks,T482,344,Walkaround Inspection,07:57.0,1047
20211101,00:00.0,N,Haul trucks,T1212,563,Walkaround Inspection,04:22.0,693
20211101,00:00.0,N,Haul trucks,T1205,560,Walkaround Inspection,02:46.0,783
20211101,00:00.0,N,Haul trucks,T417,478,Walkaround Inspection,17:47.0,920
20211101,00:00.0,N,Haul trucks,T416,475,Walkaround Inspection,18:40.0,865
20211101,00:00.0,N,Haul trucks,T484,393,Walkaround Inspection,19:16.0,753
20211101,00:00.0,N,Haul trucks,T469,292,Walkaround Inspection,24:45.0,819
20211101,00:00.0,D,Haul trucks,T480,303,Walkaround Inspection,29:00.0,323
20211101,00:00.0,D,Haul trucks,T357,638,Walkaround Inspection,52:08.0,1445
20211101,00:00.0,D,Haul trucks,T405,264,Walkaround Inspection,27:28.0,718
20211101,00:00.0,D,Haul trucks,T405,264,Walkaround Inspection,29:46.0,824
20211101,00:00.0,N,Haul trucks,T458,281,Walkaround Inspection,22:23.0,846
20211101,00:00.0,N,Haul trucks,T457,280,Walkaround Inspection,44:45.0,901
20211101,00:00.0,D,Haul trucks,T489,411,Walkaround Inspection,04:33.0,172
20211101,00:00.0,D,Haul trucks,T427,509,Walkaround Inspection,50:37.0,745
20211101,00:00.0,D,Haul trucks,T491,416,Walkaround Inspection,51:37.0,1550
20211101,00:00.0,N,Haul trucks,T479,302,Refuelling,44:16.0,952
20211101,00:00.0,N,Haul trucks,T472,295,Refuelling,34:42.0,812
20211101,00:00.0,N,Haul trucks,T486,403,Refuelling,56:30.0,1181
20211101,00:00.0,N,Haul trucks,T486,403,Refuelling,16:19.0,15
20211101,00:00.0,D,Haul trucks,T499,430,Refuelling,53:11.0,1079
20211101,00:00.0,D,Haul trucks,T499,430,Refuelling,11:15.0,19
20211101,00:00.0,N,Haul trucks,T468,291,Refuelling,13:24.0,783
20211101,00:00.0,D,Haul trucks,T484,393,Refuelling,46:16.0,931
20211101,00:00.0,N,Haul trucks,T1202,555,Refuelling,56:27.0,864
20211101,00:00.0,N,Haul trucks,T489,411,Refuelling,13:21.0,32
20211101,00:00.0,D,Haul trucks,T477,300,Refuelling,32:13.0,857
20211101,00:00.0,D,Haul trucks,T1206,561,Refuelling,04:27.0,11
20211101,00:00.0,D,Haul trucks,T1206,561,Refuelling,42:27.0,398
20211101,00:00.0,D,Haul trucks,T1206,561,Refuelling,50:49.0,162
20211101,00:00.0,D,Haul trucks,T1206,561,Refuelling,55:06.0,530
20211101,00:00.0,D,Haul trucks,T488,408,Refuelling,51:55.0,1875
20211101,00:00.0,D,Haul trucks,T488,408,Refuelling,23:12.0,8
20211101,00:00.0,D,Haul trucks,T1212,563,Refuelling,12:26.0,1187
20211101,00:00.0,N,Haul trucks,T475,298,Refuelling,52:20.0,863
20211101,00:00.0,N,Haul trucks,T422,490,Refuelling,00:43.0,61
20211101,00:00.0,N,Haul trucks,T422,490,Refuelling,37:02.0,1208
20211101,00:00.0,N,Haul trucks,T406,265,Refuelling,03:41.0,1166
20211101,00:00.0,D,Haul trucks,T404,263,Refuelling,27:12.0,7
20211101,00:00.0,D,Haul trucks,T404,263,Refuelling,09:04.0,1085
20211101,00:00.0,D,Haul trucks,T468,291,Refuelling,27:20.0,739
20211101,00:00.0,D,Haul trucks,T497,426,Refuelling,44:09.0,1183
20211101,00:00.0,D,Haul trucks,T498,429,Refuelling,23:23.0,1548
20211101,00:00.0,N,Haul trucks,T401,260,Refuelling,15:00.0,932
20211101,00:00.0,N,Haul trucks,T401,260,Refuelling,30:36.0,8
20211101,00:00.0,N,Haul trucks,T481,340,Refuelling,53:28.0,1074
20211101,00:00.0,N,Haul trucks,T481,340,Refuelling,11:28.0,17
20211101,00:00.0,D,Haul trucks,T356,632,Refuelling,49:45.0,1403
20211101,00:00.0,D,Haul trucks,T1211,567,Refuelling,39:27.0,10
20211101,00:00.0,D,Haul trucks,T1211,567,Refuelling,40:03.0,1873
20211101,00:00.0,N,Haul trucks,T425,506,Refuelling,32:38.0,18
20211101,00:00.0,N,Haul trucks,T425,506,Refuelling,33:09.0,16
20211101,00:00.0,N,Haul trucks,T428,510,Refuelling,22:07.0,1011
20211101,00:00.0,N,Haul trucks,T428,510,Refuelling,39:07.0,29
20211101,00:00.0,D,Haul trucks,T408,267,Refuelling,43:42.0,165
20211101,00:00.0,N,Haul trucks,T429,553,Refuelling,24:42.0,1710
20211101,00:00.0,N,Haul trucks,T429,553,Refuelling,53:35.0,36
20211101,00:00.0,D,Haul trucks,T416,475,Refuelling,44:34.0,1274
20211101,00:00.0,N,Haul trucks,T1206,561,Refuelling,20:24.0,1149
20211101,00:00.0,N,Haul trucks,T1206,561,Refuelling,39:36.0,19
20211101,00:00.0,D,Haul trucks,T483,392,Refuelling,19:38.0,897
20211101,00:00.0,D,Haul trucks,T483,392,Refuelling,34:41.0,7
20211101,00:00.0,D,Haul trucks,T1214,564,Refuelling,18:01.0,794
20211101,00:00.0,D,Haul trucks,T421,481,Refuelling,04:44.0,2422
20211101,00:00.0,N,Haul trucks,T1210,566,Refuelling,15:00.0,988
20211101,00:00.0,N,Haul trucks,T1213,558,Refuelling,46:19.0,997
20211101,00:00.0,N,Haul trucks,T1203,554,Refuelling,20:24.0,1140
20211101,00:00.0,D,Haul trucks,T411,459,Refuelling,27:52.0,1419
20211101,00:00.0,N,Haul trucks,T421,481,Refuelling,34:35.0,1196
20211101,00:00.0,N,Haul trucks,T418,477,Refuelling,31:38.0,923
20211101,00:00.0,N,Haul trucks,T356,632,Refuelling,16:45.0,1086
20211101,00:00.0,N,Haul trucks,T356,632,Refuelling,34:54.0,8
20211101,00:00.0,N,Haul trucks,T404,263,Refuelling,00:17.0,1006
20211101,00:00.0,D,Haul trucks,T418,477,Refuelling,37:08.0,986
20211101,00:00.0,D,Haul trucks,T402,261,Refuelling,13:23.0,1197
20211101,00:00.0,D,Haul trucks,T402,261,Refuelling,05:03.0,73
20211101,00:00.0,D,Haul trucks,T422,490,Refuelling,55:47.0,53
20211101,00:00.0,D,Haul trucks,T422,490,Refuelling,35:27.0,1190
20211101,00:00.0,N,Haul trucks,T487,406,Refuelling,08:42.0,1061
20211101,00:00.0,N,Haul trucks,T487,406,Refuelling,26:30.0,8
20211101,00:00.0,N,Haul trucks,T482,344,Refuelling,01:23.0,1129
20211101,00:00.0,N,Haul trucks,T471,294,Refuelling,29:12.0,938
20211101,00:00.0,N,Haul trucks,T471,294,Refuelling,44:54.0,9
20211101,00:00.0,N,Haul trucks,T477,300,Refuelling,34:50.0,1042
20211101,00:00.0,N,Haul trucks,T470,293,Refuelling,36:30.0,966
20211101,00:00.0,N,Haul trucks,T467,290,Refuelling,44:30.0,987
20211101,00:00.0,N,Haul trucks,T466,289,Refuelling,41:34.0,1052
20211101,00:00.0,N,Haul trucks,T455,278,Refuelling,09:30.0,863
20211101,00:00.0,N,Haul trucks,T455,278,Refuelling,23:58.0,14
20211101,00:00.0,N,Haul trucks,T408,267,Refuelling,23:54.0,8
20211101,00:00.0,N,Haul trucks,T408,267,Refuelling,58:23.0,1527
20211101,00:00.0,N,Haul trucks,T353,489,Refuelling,39:54.0,18
20211101,00:00.0,N,Haul trucks,T353,489,Refuelling,11:17.0,1713
20211101,00:00.0,N,Haul trucks,T420,482,Refuelling,17:52.0,1031
20211101,00:00.0,N,Haul trucks,T424,507,Refuelling,31:37.0,937
20211101,00:00.0,D,Haul trucks,T457,280,Refuelling,21:38.0,1261
20211101,00:00.0,N,Haul trucks,T453,276,Refuelling,15:12.0,7
20211101,00:00.0,N,Haul trucks,T453,276,Refuelling,00:37.0,870
20211101,00:00.0,D,Haul trucks,T456,279,Refuelling,08:45.0,1037
20211101,00:00.0,D,Haul trucks,T454,277,Refuelling,53:40.0,1384
20211101,00:00.0,D,Haul trucks,T473,296,Refuelling,36:33.0,990
20211101,00:00.0,D,Haul trucks,T455,278,Refuelling,46:19.0,1007
20211101,00:00.0,N,Haul trucks,T465,288,Refuelling,54:10.0,1049
20211101,00:00.0,N,Haul trucks,T465,288,Refuelling,11:44.0,12
20211101,00:00.0,D,Haul trucks,T458,281,Refuelling,17:43.0,1009
20211101,00:00.0,N,Haul trucks,T451,274,Refuelling,56:48.0,12
20211101,00:00.0,D,Haul trucks,T472,295,Refuelling,48:47.0,1187
