DateOp,ShiftID,Loader,Hauler,Sector,NominalWeight,PayLoadWeight,MaterialDesc,DumpDateOpKey,DateTimeStart,LoaderKey,UnitKey
00:00.0,D,S65,T357,X4J,350,100.07173,Inpit stockpile,20211101,2021-11-01 12:22:59.00 -07:00,648,638
00:00.0,D,S75,T485,X4Y,350,162.754009,Inpit stockpile,20211101,2021-11-01 10:33:50.00 -07:00,156,396
00:00.0,D,S42,T421,X4K,350,44.8514,Inpit stockpile,20211101,2021-11-01 08:49:25.00 -07:00,161,481
00:00.0,N,S25,T401,K8C,350,172.651204,Waste,20211101,2021-11-01 22:40:29.00 -07:00,160,260
00:00.0,D,S95,T1210,S3A,350,81.37701,Waste,20211101,2021-11-01 07:06:03.00 -07:00,329,566
00:00.0,D,S65,T357,X4K,350,173.10216,Crusher ore,20211101,2021-11-01 04:58:27.00 -07:00,648,638
00:00.0,N,S81,T492,FM1,350,257.32729,Crusher ore,20211101,2021-11-02 01:55:11.00 -07:00,155,418
00:00.0,D,S42,T425,X4K,350,265.025123,Inpit stockpile,20211101,2021-11-01 07:23:16.00 -07:00,161,506
00:00.0,N,S99,T426,X4K,350,383.79154,Construction,20211101,2021-11-01 20:42:36.00 -07:00,548,508
00:00.0,N,S75,T426,X4Y,350,357.39902,Construction,20211101,2021-11-01 20:54:46.00 -07:00,156,508
00:00.0,D,S75,T469,X4Y,350,350.800868,Construction,20211101,2021-11-01 12:15:33.00 -07:00,156,292
00:00.0,D,S75,T487,X4Y,350,388.19033,Construction,20211101,2021-11-01 16:48:45.00 -07:00,156,406
00:00.0,D,S95,T356,S3A,350,342.082851,Construction,20211101,2021-11-01 07:46:24.00 -07:00,329,632
00:00.0,D,S95,T419,S3A,350,373.894389,Construction,20211101,2021-11-01 07:23:53.00 -07:00,329,480
00:00.0,D,S25,T404,K8C,350,376.093751,Construction,20211101,2021-11-01 12:42:09.00 -07:00,160,263
00:00.0,D,S25,T478,K8C,350,336.504894,Waste,20211101,2021-11-01 11:51:18.00 -07:00,160,301
00:00.0,D,S25,T454,K8C,350,398.087514,Waste,20211101,2021-11-01 11:51:35.00 -07:00,160,277
00:00.0,D,S25,T1210,K8C,350,374.994059,Waste,20211101,2021-11-01 12:16:06.00 -07:00,160,566
00:00.0,D,S25,T417,K8C,350,427.779154,Waste,20211101,2021-11-01 12:29:55.00 -07:00,160,478
00:00.0,D,S25,T411,K8C,350,395.888152,Waste,20211101,2021-11-01 12:44:00.00 -07:00,160,459
00:00.0,D,S25,T491,K8C,350,435.476965,Waste,20211101,2021-11-01 12:49:11.00 -07:00,160,416
00:00.0,N,S81,T487,FM1,350,392.589054,Inpit stockpile,20211101,2021-11-01 22:46:28.00 -07:00,155,406
00:00.0,N,S81,T425,FM1,350,388.19033,Inpit stockpile,20211101,2021-11-01 21:58:16.00 -07:00,155,506
00:00.0,D,S75,T453,X4Y,350,410.184082,Inpit stockpile,20211101,2021-11-01 08:03:04.00 -07:00,156,276
00:00.0,D,S75,T421,X4Y,350,373.357589,Inpit stockpile,20211101,2021-11-01 08:28:22.00 -07:00,156,481
00:00.0,D,S25,T486,K8C,350,398.087514,Waste,20211101,2021-11-01 11:41:59.00 -07:00,160,403
00:00.0,D,S25,T401,K8C,350,434.377273,Waste,20211101,2021-11-01 11:49:44.00 -07:00,160,260
00:00.0,D,S42,T463,X4K,350,415.682542,Inpit stockpile,20211101,2021-11-01 09:55:00.00 -07:00,161,286
00:00.0,D,S42,T421,X4K,350,464.272611,Inpit stockpile,20211101,2021-11-01 12:00:54.00 -07:00,161,481
00:00.0,D,S42,T457,X4K,350,368.395896,Inpit stockpile,20211101,2021-11-01 07:35:58.00 -07:00,161,280
00:00.0,N,S81,T1214,FM1,350,392.58912,Inpit stockpile,20211101,2021-11-02 01:38:08.00 -07:00,155,564
00:00.0,N,S81,T481,FM1,350,365.096875,Inpit stockpile,20211101,2021-11-02 01:22:30.00 -07:00,155,340
00:00.0,N,S81,T473,FM1,350,365.096875,Inpit stockpile,20211101,2021-11-02 01:48:59.00 -07:00,155,296
00:00.0,D,S42,T357,X4K,350,366.326851,Inpit stockpile,20211101,2021-11-01 11:21:16.00 -07:00,161,638
00:00.0,D,S42,T468,X4K,350,403.585996,Inpit stockpile,20211101,2021-11-01 05:32:03.00 -07:00,161,291
00:00.0,D,S42,T473,X4K,350,388.19033,Inpit stockpile,20211101,2021-11-01 08:01:12.00 -07:00,161,296
00:00.0,D,S42,T485,X4K,350,382.69187,Inpit stockpile,20211101,2021-11-01 09:42:05.00 -07:00,161,396
00:00.0,D,S42,T424,X4K,350,388.19033,Inpit stockpile,20211101,2021-11-01 09:33:38.00 -07:00,161,507
00:00.0,D,S42,T465,X4K,350,383.79154,Inpit stockpile,20211101,2021-11-01 10:46:09.00 -07:00,161,288
00:00.0,D,S42,T469,X4K,350,388.19033,Inpit stockpile,20211101,2021-11-01 10:45:48.00 -07:00,161,292
00:00.0,D,S42,T461,X4K,350,433.277603,Inpit stockpile,20211101,2021-11-01 09:44:25.00 -07:00,161,284
00:00.0,D,S42,T479,X4K,350,403.585996,Inpit stockpile,20211101,2021-11-01 11:42:32.00 -07:00,161,302
00:00.0,D,S42,T484,X4K,350,432.177911,Inpit stockpile,20211101,2021-11-01 12:45:47.00 -07:00,161,393
00:00.0,D,S42,T1213,X4K,350,440.975425,Inpit stockpile,20211101,2021-11-01 13:07:12.00 -07:00,161,558
00:00.0,D,S42,T480,X4K,350,362.897447,Inpit stockpile,20211101,2021-11-01 11:14:00.00 -07:00,161,303
00:00.0,D,S42,T480,X4K,350,381.592178,Inpit stockpile,20211101,2021-11-01 09:50:25.00 -07:00,161,303
00:00.0,D,S42,T1205,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-01 13:00:01.00 -07:00,161,560
00:00.0,D,S42,T1208,X4K,350,420.081299,Inpit stockpile,20211101,2021-11-01 10:05:39.00 -07:00,161,559
00:00.0,D,S42,T418,X4K,350,409.084423,Inpit stockpile,20211101,2021-11-01 10:21:54.00 -07:00,161,477
00:00.0,D,S42,T427,X4K,350,394.788482,Inpit stockpile,20211101,2021-11-01 10:32:33.00 -07:00,161,509
00:00.0,D,S42,T474,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-01 10:43:07.00 -07:00,161,297
00:00.0,D,S42,T487,X4K,350,428.878813,Inpit stockpile,20211101,2021-11-01 12:33:11.00 -07:00,161,406
00:00.0,D,S42,T463,X4K,350,440.975425,Inpit stockpile,20211101,2021-11-01 13:47:48.00 -07:00,161,286
00:00.0,D,S42,T477,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-01 09:35:01.00 -07:00,161,300
00:00.0,D,S42,T455,X4K,350,416.782234,Inpit stockpile,20211101,2021-11-01 12:13:49.00 -07:00,161,278
00:00.0,D,S42,T452,X4K,350,361.797777,Inpit stockpile,20211101,2021-11-01 10:56:32.00 -07:00,161,275
00:00.0,D,S42,T357,X4K,350,422.08804,Inpit stockpile,20211101,2021-11-01 09:43:34.00 -07:00,161,638
00:00.0,D,S99,T353,X4K,350,383.176409,Inpit stockpile,20211101,2021-11-01 05:45:48.00 -07:00,548,489
00:00.0,N,S99,T1212,X4K,350,368.39594,Inpit stockpile,20211101,2021-11-02 03:30:30.00 -07:00,548,563
00:00.0,D,S42,T1201,X4K,350,384.891265,Inpit stockpile,20211101,2021-11-01 10:45:59.00 -07:00,161,556
00:00.0,D,S42,T420,X4K,350,373.894389,Inpit stockpile,20211101,2021-11-01 11:21:17.00 -07:00,161,482
00:00.0,D,S42,T453,X4K,350,392.589054,Inpit stockpile,20211101,2021-11-01 11:36:12.00 -07:00,161,276
00:00.0,D,S42,T353,X4K,350,442.937891,Inpit stockpile,20211101,2021-11-01 12:24:40.00 -07:00,161,489
00:00.0,D,S75,T497,X4Y,350,373.894389,Inpit stockpile,20211101,2021-11-01 06:00:56.00 -07:00,156,426
00:00.0,D,S75,T1214,X4Y,350,370.595302,Inpit stockpile,20211101,2021-11-01 11:36:54.00 -07:00,156,564
00:00.0,D,S75,T464,X4Y,350,362.447789,Inpit stockpile,20211101,2021-11-01 05:35:24.00 -07:00,156,287
00:00.0,D,S75,T485,X4Y,350,382.69187,Inpit stockpile,20211101,2021-11-01 06:16:12.00 -07:00,156,396
00:00.0,D,S75,T1209,X4Y,350,371.694994,Inpit stockpile,20211101,2021-11-01 11:08:04.00 -07:00,156,565
00:00.0,D,S75,T410,X4Y,350,371.694961,Inpit stockpile,20211101,2021-11-01 11:09:14.00 -07:00,156,269
00:00.0,D,S75,T423,X4Y,350,362.89748,Inpit stockpile,20211101,2021-11-01 06:08:37.00 -07:00,156,503
00:00.0,D,S75,T470,X4Y,350,392.589054,Inpit stockpile,20211101,2021-11-01 07:49:32.00 -07:00,156,293
00:00.0,D,S75,T499,X4Y,350,403.6626,Inpit stockpile,20211101,2021-11-01 07:51:03.00 -07:00,156,430
00:00.0,D,S75,T487,X4Y,350,417.881937,Inpit stockpile,20211101,2021-11-01 07:29:25.00 -07:00,156,406
00:00.0,D,S75,T410,X4Y,350,374.994059,Inpit stockpile,20211101,2021-11-01 08:01:55.00 -07:00,156,269
00:00.0,D,S75,T357,X4Y,500,367.41782,Inpit stockpile,20211101,2021-11-01 05:44:31.00 -07:00,156,638
00:00.0,D,S75,T1209,X4Y,350,392.58912,Inpit stockpile,20211101,2021-11-01 08:13:34.00 -07:00,156,565
00:00.0,D,S75,T402,X4Y,350,379.392816,Inpit stockpile,20211101,2021-11-01 10:46:24.00 -07:00,156,261
00:00.0,D,S75,T416,X4Y,350,373.894389,Inpit stockpile,20211101,2021-11-01 11:38:28.00 -07:00,156,475
00:00.0,D,S75,T461,X4Y,350,400.286909,Inpit stockpile,20211101,2021-11-01 12:14:30.00 -07:00,156,284
00:00.0,D,S75,T356,X4Y,350,329.718389,Inpit stockpile,20211101,2021-11-01 11:09:40.00 -07:00,156,632
00:00.0,D,S75,T1208,X4Y,350,357.39902,Inpit stockpile,20211101,2021-11-01 06:47:25.00 -07:00,156,559
00:00.0,N,S99,T423,X4K,350,374.994059,Inpit stockpile,20211101,2021-11-02 00:29:46.00 -07:00,548,503
00:00.0,D,S99,T497,X4K,350,417.881937,Inpit stockpile,20211101,2021-11-01 06:52:18.00 -07:00,548,426
00:00.0,D,S99,T457,X4K,350,349.701209,Inpit stockpile,20211101,2021-11-01 06:24:24.00 -07:00,548,280
00:00.0,D,S42,T490,X4K,350,411.283785,Inpit stockpile,20211101,2021-11-01 11:57:03.00 -07:00,161,413
00:00.0,D,S75,T464,X4Y,350,362.447789,Inpit stockpile,20211101,2021-11-01 11:15:18.00 -07:00,156,287
00:00.0,D,S75,T416,X4Y,350,395.888152,Inpit stockpile,20211101,2021-11-01 06:23:38.00 -07:00,156,475
00:00.0,N,S99,T451,X4K,350,407.98472,Inpit stockpile,20211101,2021-11-02 01:09:52.00 -07:00,548,274
00:00.0,N,S99,T410,X4K,350,385.990968,Inpit stockpile,20211101,2021-11-02 00:35:40.00 -07:00,548,269
00:00.0,N,S99,T424,X4K,350,383.79154,Inpit stockpile,20211101,2021-11-02 03:56:51.00 -07:00,548,507
00:00.0,N,S99,T1201,X4K,350,381.592178,Inpit stockpile,20211101,2021-11-02 04:07:20.00 -07:00,548,556
00:00.0,D,S99,T479,X4K,350,388.19033,Inpit stockpile,20211101,2021-11-01 07:44:38.00 -07:00,548,302
00:00.0,N,S99,T468,X4K,350,381.592178,Inpit stockpile,20211101,2021-11-02 00:15:22.00 -07:00,548,291
00:00.0,N,S99,T489,X4K,350,377.193421,Inpit stockpile,20211101,2021-11-02 00:21:16.00 -07:00,548,411
00:00.0,N,S99,T490,X4K,350,383.79154,Inpit stockpile,20211101,2021-11-02 00:32:58.00 -07:00,548,413
00:00.0,N,S99,T463,X4K,350,385.990968,Inpit stockpile,20211101,2021-11-02 00:50:37.00 -07:00,548,286
00:00.0,N,S99,T484,X4K,350,410.184082,Inpit stockpile,20211101,2021-11-02 00:52:14.00 -07:00,548,393
00:00.0,N,S99,T1212,X4K,350,409.084423,Inpit stockpile,20211101,2021-11-02 01:15:30.00 -07:00,548,563
00:00.0,N,S99,T1209,X4K,350,396.987844,Inpit stockpile,20211101,2021-11-02 00:28:30.00 -07:00,548,565
00:00.0,N,S99,T466,X4K,350,406.885028,Inpit stockpile,20211101,2021-11-02 02:51:34.00 -07:00,548,289
00:00.0,N,S99,T484,X4K,350,399.187206,Inpit stockpile,20211101,2021-11-02 02:59:21.00 -07:00,548,393
00:00.0,N,S99,T477,X4K,350,367.296237,Inpit stockpile,20211101,2021-11-02 03:12:32.00 -07:00,548,300
00:00.0,N,S99,T425,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-02 03:26:54.00 -07:00,548,506
00:00.0,N,S99,T1208,X4K,350,357.39902,Inpit stockpile,20211101,2021-11-02 01:06:34.00 -07:00,548,559
00:00.0,N,S99,T473,X4K,350,377.193421,Inpit stockpile,20211101,2021-11-02 03:43:34.00 -07:00,548,296
00:00.0,N,S99,T1204,X4K,350,394.788482,Inpit stockpile,20211101,2021-11-02 03:23:03.00 -07:00,548,557
00:00.0,N,S99,T403,X4K,350,373.894389,Inpit stockpile,20211101,2021-11-02 04:10:02.00 -07:00,548,262
00:00.0,N,S99,T456,X4K,350,376.093751,Inpit stockpile,20211101,2021-11-02 04:18:02.00 -07:00,548,279
00:00.0,N,S99,T475,X4K,350,394.788482,Inpit stockpile,20211101,2021-11-02 02:33:45.00 -07:00,548,298
00:00.0,D,S99,T477,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-01 05:58:36.00 -07:00,548,300
00:00.0,D,S99,T452,X4K,350,383.79154,Inpit stockpile,20211101,2021-11-01 06:25:26.00 -07:00,548,275
00:00.0,D,S99,T480,X4K,350,388.19033,Inpit stockpile,20211101,2021-11-01 05:59:22.00 -07:00,548,303
00:00.0,D,S99,T498,X4K,350,392.589054,Inpit stockpile,20211101,2021-11-01 06:14:16.00 -07:00,548,429
00:00.0,N,S99,T498,X4K,350,377.193421,Inpit stockpile,20211101,2021-11-02 00:15:40.00 -07:00,548,429
00:00.0,N,S99,T461,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-02 00:33:43.00 -07:00,548,284
00:00.0,N,S99,T499,X4K,350,370.933211,Inpit stockpile,20211101,2021-11-02 00:44:26.00 -07:00,548,430
00:00.0,N,S99,T470,X4K,350,370.595302,Inpit stockpile,20211101,2021-11-02 00:23:21.00 -07:00,548,293
00:00.0,N,S99,T480,X4K,350,370.595302,Inpit stockpile,20211101,2021-11-02 01:08:48.00 -07:00,548,303
00:00.0,N,S99,T466,X4K,350,395.888152,Inpit stockpile,20211101,2021-11-02 01:10:48.00 -07:00,548,289
00:00.0,N,S99,T1211,X4K,350,367.296237,Inpit stockpile,20211101,2021-11-02 00:59:09.00 -07:00,548,567
00:00.0,N,S99,T479,X4K,350,381.592178,Inpit stockpile,20211101,2021-11-02 02:28:16.00 -07:00,548,302
00:00.0,N,S99,T490,X4K,350,380.492475,Inpit stockpile,20211101,2021-11-02 02:30:32.00 -07:00,548,413
00:00.0,N,S99,T470,X4K,350,410.184082,Inpit stockpile,20211101,2021-11-02 02:39:50.00 -07:00,548,293
00:00.0,N,S99,T499,X4K,350,400.026,Inpit stockpile,20211101,2021-11-02 03:04:05.00 -07:00,548,430
00:00.0,N,S99,T417,X4K,350,405.785358,Inpit stockpile,20211101,2021-11-02 03:09:34.00 -07:00,548,478
00:00.0,N,S99,T474,X4K,350,362.897447,Inpit stockpile,20211101,2021-11-02 03:26:15.00 -07:00,548,297
00:00.0,N,S99,T489,X4K,350,396.987844,Inpit stockpile,20211101,2021-11-02 03:37:10.00 -07:00,548,411
